Timestamp,Class,Confidence
2026-08-27 23:55:47,ambulance,0.72
2026-08-27 23:55:47,fire engine,0.21
2026-08-27 23:55:48,ambulance,0.86
2026-08-27 23:55:48,ambulance,0.89
2026-08-27 23:55:49,ambulance,0.92
2026-08-27 23:55:49,ambulance,0.91
2026-08-27 23:55:49,ambulance,0.90
2026-08-27 23:55:50,ambulance,0.92
2026-08-27 23:55:50,ambulance,0.89
2026-08-27 23:55:51,ambulance,0.89
2026-08-27 23:55:51,ambulance,0.87
2026-08-27 23:55:51,ambulance,0.87
2026-08-27 23:55:52,ambulance,0.86
2026-08-27 23:55:52,ambulance,0.87
2026-08-27 23:55:52,ambulance,0.89
2026-08-27 23:55:53,ambulance,0.88
2026-08-27 23:56:02,ambulance,0.87
2026-08-27 23:56:03,ambulance,0.78
2026-08-27 23:56:03,ambulance,0.82
2026-08-27 23:56:03,ambulance,0.57
2026-08-27 23:56:03,car,0.48
2026-08-27 23:56:04,ambulance,0.44
2026-08-27 23:56:04,car,0.31
2026-08-27 23:56:04,ambulance,0.88
2026-08-27 23:56:05,ambulance,0.90
2026-08-27 23:56:05,ambulance,0.87
2026-08-27 23:56:06,ambulance,0.89
2026-08-27 23:56:06,ambulance,0.88
2026-08-27 23:56:07,ambulance,0.86
2026-08-27 23:56:07,ambulance,0.89
2026-08-27 23:56:09,ambulance,0.76
2026-08-27 23:56:10,ambulance,0.89
2026-08-27 23:56:10,ambulance,0.85
2026-08-27 23:56:11,ambulance,0.92
2026-08-27 23:56:11,ambulance,0.94
2026-08-27 23:56:11,ambulance,0.94
2026-08-27 23:56:12,ambulance,0.93
2026-08-27 23:56:12,ambulance,0.87
2026-08-27 23:56:13,ambulance,0.89
2026-08-27 23:56:13,ambulance,0.91
2026-08-27 23:56:13,ambulance,0.90
2026-08-27 23:56:14,ambulance,0.88
2026-08-27 23:56:14,ambulance,0.79
2026-08-27 23:56:15,ambulance,0.91
2026-08-27 23:56:15,ambulance,0.84
2026-08-27 23:56:15,ambulance,0.83
2026-08-27 23:56:16,ambulance,0.78
2026-08-27 23:56:16,ambulance,0.91
2026-08-27 23:56:16,ambulance,0.90
2026-08-27 23:56:17,ambulance,0.86
2026-08-27 23:56:17,ambulance,0.89
2026-08-27 23:56:18,ambulance,0.87
2026-08-27 23:56:18,ambulance,0.87
2026-08-27 23:56:18,ambulance,0.84
2026-08-27 23:56:19,ambulance,0.87
2026-08-27 23:56:19,ambulance,0.91
2026-08-27 23:56:20,ambulance,0.87
2026-08-27 23:56:20,ambulance,0.88
2026-08-27 23:56:20,ambulance,0.82
2026-08-27 23:56:21,ambulance,0.86
2026-08-27 23:56:21,ambulance,0.86
2026-08-27 23:56:21,ambulance,0.86
2026-08-27 23:56:22,ambulance,0.87
2026-08-27 23:56:23,ambulance,0.86
